"Product title","Product variant title","Product variant SKU","Month","Shipping country","Product variant SKU at time of sale","Net items sold"
"BEAN CELLAR Bulk","100 / FROSTED","BNP-100","2025-09-01","Canada","BNP-100",1
"BEAN CELLAR Bulk","100 / CARBON","BNP-B100","2025-12-01","Saudi Arabia","BNP-B100",1
"BEAN CELLAR Bulk","100 / FROSTED","BNP-100","2025-06-01","Australia","BNP-100",1
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2025-12-01","Germany","BNP-50",1
"BEAN CELLAR Bulk","50 / CARBON","BNP-B50","2025-12-01","Canada","BNP-B50",1
"BEAN CELLAR Bulk","50 / CARBON","BNP-B50","2026-02-01","Taiwan","BNP-B50",1
"BEAN CELLAR Bulk","50 / CARBON","BNP-B50","2026-03-01","Spain","BNP-B50",1
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2025-08-01","Hong Kong","BNP-50",1
"BEAN CELLAR Bulk","50 / CARBON","BNP-B50","2025-08-01","Germany","BNP-B50",1
"BEAN CELLAR Bulk","100 / FROSTED","BNP-100","2026-01-01","China","BNP-100",2
"BEAN CELLAR Bulk","100 / FROSTED","BNP-100","2025-08-01","Australia","BNP-100",1
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2026-02-01","United States","BNP-50",11
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2025-07-01","United States","BNP-50",8
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2025-11-01","Sweden","BNP-50",3
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2025-08-01","United States","BNP-50",17
"BEAN CELLAR Bulk","100 / FROSTED","BNP-100","2026-04-01","Saudi Arabia","BNP-100",1
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2025-09-01","Taiwan","BNP-50",1
"BEAN CELLAR Bulk","50 / CARBON","BNP-B50","2025-09-01","Japan","BNP-B50",1
"BEAN CELLAR Bulk","100 / CARBON","BNP-B100","2026-01-01","United Arab Emirates","BNP-B100",1
"BEAN CELLAR Bulk","50 / CARBON","BNP-B50","2026-03-01","United Kingdom","BNP-B50",2
"BEAN CELLAR Bulk","100 / FROSTED","BNP-100","2025-10-01","United States","BNP-100",1
"BEAN CELLAR Bulk","100 / FROSTED","BNP-100","2025-06-01","United Kingdom","BNP-100",1
"BEAN CELLAR Bulk","50 / CARBON","BNP-B50","2026-03-01","Australia","BNP-B50",1
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2025-10-01","Saudi Arabia","BNP-50",1
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2025-12-01","Australia","BNP-50",2
"BEAN CELLAR Bulk","50 / CARBON","BNP-B50","2026-03-01","Canada","BNP-B50",1
"BEAN CELLAR Bulk","100 / CARBON","BNP-B100","2026-04-01","United States","BNP-B100",2
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2025-06-01","United Kingdom","BNP-50",3
"BEAN CELLAR Bulk","50 / CARBON","BNP-B50","2025-10-01","Australia","BNP-B50",1
"BEAN CELLAR Bulk","50 / CARBON","BNP-B50","2026-01-01","Taiwan","BNP-B50",2
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2026-04-01","United States","BNP-50",4
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2025-12-01","Cyprus","BNP-50",1
"BEAN CELLAR Bulk","50 / CARBON","BNP-B50","2025-12-01","United States","BNP-B50",5
"BEAN CELLAR Bulk","100 / CARBON","BNP-B100","2025-10-01","Singapore","BNP-B100",1
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2026-04-01","Saudi Arabia","BNP-50",1
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2025-10-01","South Korea","BNP-50",1
"BEAN CELLAR Bulk","100 / FROSTED","BNP-100","2025-07-01","United States","BNP-100",3
"BEAN CELLAR Bulk","100 / FROSTED","BNP-100","2026-04-01","Canada","BNP-100",1
"BEAN CELLAR Bulk","100 / FROSTED","BNP-100","2025-12-01","Canada","BNP-100",2
"BEAN CELLAR Bulk","100 / carbon","BNP-B100","2026-04-01","United States","BNP-B100",1
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2025-06-01","Austria","BNP-50",1
"BEAN CELLAR Bulk","50 / CARBON","BNP-B50","2025-09-01","United States","BNP-B50",1
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2025-08-01","Australia","BNP-50",1
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2025-10-01","Switzerland","BNP-50",1
"BEAN CELLAR Bulk","50 / CARBON","BNP-B50","2025-12-01","South Korea","BNP-B50",1
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2025-11-01","Australia","BNP-50",1
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2026-01-01","United States","BNP-50",19
"BEAN CELLAR Bulk","50 / CARBON","BNP-B50","2025-12-01","Hong Kong","BNP-B50",1
"BEAN CELLAR Bulk","100 / FROSTED","BNP-100","2025-11-01","Ireland","BNP-100",1
"BEAN CELLAR Bulk","100 / FROSTED","BNP-100","2025-10-01","China","BNP-100",1
"BEAN CELLAR Bulk","100 / FROSTED","BNP-100","2026-01-01","Saudi Arabia","BNP-100",1
"BEAN CELLAR Bulk","50 / CARBON","BNP-B50","2026-02-01","United States","BNP-B50",10
"BEAN CELLAR Bulk","100 / FROSTED","BNP-100","2025-07-01","Peru","BNP-100",1
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2025-08-01","Japan","BNP-50",2
"BEAN CELLAR Bulk","50 / CARBON","BNP-B50","2026-01-01","United States","BNP-B50",1
"BEAN CELLAR Bulk","50 / CARBON","BNP-B50","2026-01-01","Kuwait","BNP-B50",1
"BEAN CELLAR Bulk","50 / CARBON","BNP-B50","2026-02-01","United Arab Emirates","BNP-B50",3
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2026-01-01","Canada","BNP-50",1
"BEAN CELLAR Bulk","100 / CARBON","BNP-B100","2026-02-01","United States","BNP-B100",2
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2025-10-01","Taiwan","BNP-50",2
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2025-05-01","Spain","BNP-50",1
"BEAN CELLAR Bulk","100 / CARBON","BNP-B100","2025-12-01","Norway","BNP-B100",1
"BEAN CELLAR Bulk","50 / CARBON","BNP-B50","2025-11-01","Australia","BNP-B50",1
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2025-05-01","Poland","BNP-50",1
"BEAN CELLAR Bulk","100 / CARBON","BNP-B100","2025-11-01","China","BNP-B100",1
"BEAN CELLAR Bulk","100 / FROSTED","BNP-100","2025-06-01","China","BNP-100",1
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2026-04-01","Israel","BNP-50",1
"BEAN CELLAR Bulk","100 / FROSTED","BNP-100","2025-10-01","Japan","BNP-100",1
"BEAN CELLAR Bulk","100 / FROSTED","BNP-100","2025-06-01","Kuwait","BNP-100",1
"BEAN CELLAR Bulk","100 / CARBON","BNP-B100","2026-03-01","United States","BNP-B100",2
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2026-03-01","Japan","BNP-50",3
"BEAN CELLAR Bulk","50 / CARBON","BNP-B50","2026-04-01","United States","BNP-B50",3
"BEAN CELLAR Bulk","100 / FROSTED","BNP-100","2025-09-01","United States","BNP-100",3
"BEAN CELLAR Bulk","50 / carbon","BNP-B50","2026-04-01","United States","BNP-B50",2
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2025-09-01","Canada","BNP-50",1
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2026-03-01","United States","BNP-50",11
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2025-07-01","Bulgaria","BNP-50",1
"BEAN CELLAR Bulk","50 / frosted","BNP-50","2026-04-01","Canada","BNP-50",4
"BEAN CELLAR Bulk","100 / FROSTED","BNP-100","2025-06-01","France","BNP-100",1
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2025-09-01","Kuwait","BNP-50",1
"BEAN CELLAR Bulk","50 / CARBON","BNP-B50","2025-11-01","United Kingdom","BNP-B50",1
"BEAN CELLAR Bulk","50 / frosted","BNP-50","2026-04-01","Saudi Arabia","BNP-50",1
"BEAN CELLAR Bulk","100 / FROSTED","BNP-100","2026-02-01","Japan","BNP-100",1
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2025-12-01","United States","BNP-50",11
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2025-09-01","Singapore","BNP-50",1
"BEAN CELLAR Bulk","100 / CARBON","BNP-B100","2025-12-01","United States","BNP-B100",1
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2026-02-01","United Kingdom","BNP-50",1
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2025-05-01","Australia","BNP-50",2
"BEAN CELLAR Bulk","100 / FROSTED","BNP-100","2025-08-01","Cyprus","BNP-100",1
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2025-12-01","Canada","BNP-50",1
"BEAN CELLAR Bulk","50 / CARBON","BNP-B50","2026-03-01","United States","BNP-B50",5
"BEAN CELLAR Bulk","100 / FROSTED","BNP-100","2025-05-01","China","BNP-100",1
"BEAN CELLAR Bulk","100 / FROSTED","BNP-100","2025-05-01","Thailand","BNP-100",2
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2025-09-01","United States","BNP-50",5
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2026-02-01","France","BNP-50",1
"BEAN CELLAR Bulk","50 / FROSTED","BNP-50","2025-08-01","Belgium","BNP-50",1
"BEAN CELLAR Bulk","100 / FROSTED","BNP-100","2025-11-01","United States","BNP-100",3
"BEAN CELLAR Glass","Teak & Brass","BNG","2025-12-01","Germany","BNG",3
"BEAN CELLAR Glass","Teak & Brass","BNG","2025-10-01","Iceland","BNG",1
"BEAN CELLAR Glass","Teak & Brass","BNG","2025-09-01","Philippines","BNG",1
"BEAN CELLAR Glass","Stabilized Maple Onyx","BNG-B2","2025-07-01","United Kingdom","BNG-B",1
"BEAN CELLAR Glass","Teak & Brass","BNG","2026-03-01","United States","BNG",15
"BEAN CELLAR Glass","Stabilized Maple Onyx","BNG-B2","2026-03-01","Japan","BNG-B2",1
"BEAN CELLAR Glass","Stabilized Maple Onyx","BNG-B2","2025-05-01","Taiwan","BNG-B",1
"BEAN CELLAR Glass","Stabilized Maple Onyx","BNG-B2","2025-10-01","United States","BNG-B2",3
"BEAN CELLAR Glass","Stabilized Maple Onyx","BNG-B2","2025-11-01","United States","BNG-B2",18
"BEAN CELLAR Glass","Teak & Brass","BNG","2025-11-01","France","BNG",1
"BEAN CELLAR Glass","Teak & Brass","BNG","2025-07-01","Netherlands","BNG",2
"BEAN CELLAR Glass","Teak & Brass","BNG","2026-03-01","Belgium","BNG",1
"BEAN CELLAR Glass","Teak & Brass","BNG","2026-01-01","Germany","BNG",2
"BEAN CELLAR Glass","Stabilized Maple Onyx","BNG-B2","2025-06-01","Finland","BNG-B",1
"BEAN CELLAR Glass","Teak & Brass","BNG","2026-03-01","Australia","BNG",2
"BEAN CELLAR Glass","Teak & Brass","BNG","2025-07-01","Switzerland","BNG",1
"BEAN CELLAR Glass","Teak & Brass","BNG","2025-09-01","United Arab Emirates","BNG",1
"BEAN CELLAR Glass","Stabilized Maple Onyx","BNG-B2","2025-05-01","Canada","BNG-B",1
"BEAN CELLAR Glass","Teak & Brass","BNG","2025-10-01","Spain","BNG",1
"BEAN CELLAR Glass","Stabilized Maple Onyx","BNG-B2","2026-01-01","Taiwan","BNG-B2",1
"BEAN CELLAR Glass","Teak & Brass","BNG","2025-07-01","Norway","BNG",1
"BEAN CELLAR Glass","Teak & Brass","BNG","2026-03-01","Denmark","BNG",2
"BEAN CELLAR Glass","Stabilized Maple Onyx","BNG-B2","2026-01-01","Kuwait","BNG-B2",1
"BEAN CELLAR Glass","Teak & Brass","BNG","2025-11-01","Canada","BNG",1
"BEAN CELLAR Glass","Stabilized Maple Onyx","BNG-B2","2025-09-01","United States","BNG-B",10
"BEAN CELLAR Glass","Teak & Brass","BNG","2025-11-01","Netherlands","BNG",1
"BEAN CELLAR Glass","Teak & Brass","BNG","2025-07-01","United Kingdom","BNG",2
"BEAN CELLAR Glass","Stabilized Maple Onyx","BNG-B2","2026-01-01","United States","BNG-B2",13
"BEAN CELLAR Glass","Teak & Brass","BNG","2025-06-01","Australia","BNG",2
"BEAN CELLAR Glass","Teak & Brass","BNG","2026-03-01","Indonesia","BNG",1
"BEAN CELLAR Glass","Stabilized Maple Onyx","BNG-B2","2026-02-01","Hong Kong","BNG-B2",1
"BEAN CELLAR Glass","Teak & Brass","BNG","2025-08-01","Belgium","BNG",1
"BEAN CELLAR Glass","Stabilized Maple Onyx","BNG-B2","2025-06-01","Netherlands","BNG-B",1
"BEAN CELLAR Glass","Teak & Brass","BNG","2025-12-01","France","BNG",1
"BEAN CELLAR Glass","Teak & Brass","BNG","2025-11-01","United States","BNG",17
"BEAN CELLAR Glass","Teak & Brass","BNG","2025-05-01","Germany","BNG",2
"BEAN CELLAR Glass","Teak & Brass","BNG","2025-12-01","Iceland","BNG",1
"BEAN CELLAR Glass","Stabilized Maple Onyx","BNG-B2","2025-09-01","United Arab Emirates","BNG-B",1
"BEAN CELLAR Glass","Stabilized Maple Onyx","BNG-B2","2025-06-01","United States","BNG-B",15
"BEAN CELLAR Glass","Teak & Brass","BNG","2025-10-01","United States","BNG",19
"BEAN CELLAR Glass","Teak & Brass","BNG","2026-04-01","Denmark","BNG",1
"BEAN CELLAR Glass","Teak & Brass","BNG","2025-06-01","United Kingdom","BNG",2
"BEAN CELLAR Glass","Stabilized Maple Onyx","BNG-B2","2026-04-01","Hong Kong","BNG-B2",1
"BEAN CELLAR Glass","Stabilized Maple Onyx","BNG-B2","2025-05-01","United Kingdom","BNG-B",1
"BEAN CELLAR Glass","Teak & Brass","BNG","2026-02-01","Bulgaria","BNG",1
"BEAN CELLAR Glass","Stabilized Maple Onyx","BNG-B2","2025-09-01","United Kingdom","BNG-B",2
"BEAN CELLAR Glass","Teak & Brass","BNG","2025-12-01","Canada","BNG",1
"BEAN CELLAR Glass","Stabilized Maple Onyx","BNG-B2","2025-11-01","Slovakia","BNG-B2",1
"BEAN CELLAR Glass","Stabilized Maple Onyx","BNG-B2","2025-11-01","Australia","BNG-B2",1
"BEAN CELLAR Glass","Teak & Brass","BNG","2026-02-01","Switzerland","BNG",1
"BEAN CELLAR Glass","Teak & Brass","BNG","2025-10-01","Australia","BNG",1
"BEAN CELLAR Glass","Teak & Brass","BNG","2026-04-01","Ireland","BNG",1
"BEAN CELLAR Glass","Teak & Brass","BNG","2026-04-01","South Africa","BNG",1
"BEAN CELLAR Glass","Teak & Brass","BNG","2026-01-01","Luxembourg","BNG",1
"BEAN CELLAR Glass","Teak & Brass","BNG","2026-04-01","United States","BNG",16
